algo,instance,seed,feasible,hard,soft,runtime_sec,iterations
tabu_cached,exam_comp_set1,42,true,0,8811,2.500641528,3000
tabu_cached,exam_comp_set1,43,true,0,10813,3.144605758,2751
tabu_cached,exam_comp_set1,44,true,0,9070,2.575562792,3000
sa_cached,exam_comp_set1,42,true,0,11459,4.598572050,80000
sa_cached,exam_comp_set1,43,true,0,11596,4.690167766,80000
sa_cached,exam_comp_set1,44,true,0,12326,4.642910916,80000
gd_cached,exam_comp_set1,42,true,0,13150,7.632292597,80000
gd_cached,exam_comp_set1,43,true,0,12942,7.596465823,80000
gd_cached,exam_comp_set1,44,true,0,11589,7.759722463,80000
lahc_cached,exam_comp_set1,42,true,0,10348,6.124051877,80000
lahc_cached,exam_comp_set1,43,true,0,9833,6.192759102,80000
lahc_cached,exam_comp_set1,44,true,0,8964,6.098595355,80000
alns_thompson,exam_comp_set1,42,true,0,13016,9.722063788,3000
alns_thompson,exam_comp_set1,43,true,0,10144,10.493530414,3000
alns_thompson,exam_comp_set1,44,true,0,10923,9.243515454,3000
tabu_cached,exam_comp_set2,42,true,0,2754,2.729998831,3000
tabu_cached,exam_comp_set2,43,true,0,2733,2.583029833,3000
tabu_cached,exam_comp_set2,44,true,0,2751,2.852444289,3000
sa_cached,exam_comp_set2,42,true,0,3442,5.348156776,80000
sa_cached,exam_comp_set2,43,true,0,2966,5.238843319,80000
sa_cached,exam_comp_set2,44,true,0,2782,5.296632225,80000
gd_cached,exam_comp_set2,42,true,0,76409,5.284168388,80000
gd_cached,exam_comp_set2,43,true,0,163439,4.991705398,80000
gd_cached,exam_comp_set2,44,true,0,85517,5.276805799,80000
lahc_cached,exam_comp_set2,42,true,0,3068,8.137252264,80000
lahc_cached,exam_comp_set2,43,true,0,2991,8.201999253,80000
lahc_cached,exam_comp_set2,44,true,0,3396,8.189062424,80000
alns_thompson,exam_comp_set2,42,true,0,3217,46.874340676,3000
alns_thompson,exam_comp_set2,43,true,0,3037,50.782309480,3000
alns_thompson,exam_comp_set2,44,true,0,3163,65.644749329,3000
tabu_cached,exam_comp_set3,42,true,0,21446,17.321675345,3000
tabu_cached,exam_comp_set3,43,true,0,19762,16.262944105,3000
tabu_cached,exam_comp_set3,44,true,0,23034,16.323886218,3000
sa_cached,exam_comp_set3,42,true,0,24696,22.918331278,80000
sa_cached,exam_comp_set3,43,true,0,23797,21.322074145,80000
sa_cached,exam_comp_set3,44,true,0,25771,20.759471014,80000
gd_cached,exam_comp_set3,42,true,0,155606,39.521947319,80000
gd_cached,exam_comp_set3,43,true,0,103185,38.592002034,80000
gd_cached,exam_comp_set3,44,true,0,145988,38.080912945,80000
lahc_cached,exam_comp_set3,42,true,0,21812,26.938356189,80000
lahc_cached,exam_comp_set3,43,true,0,19084,25.567380838,80000
lahc_cached,exam_comp_set3,44,true,0,20869,24.576163920,80000
alns_thompson,exam_comp_set3,42,true,0,132030,30.279590123,3000
alns_thompson,exam_comp_set3,43,true,0,101904,40.381170366,3000
alns_thompson,exam_comp_set3,44,true,0,177368,17.872965925,3000
tabu_cached,exam_comp_set4,42,true,0,22783,2.734889253,3000
tabu_cached,exam_comp_set4,43,true,0,35406,3.882704493,2330
tabu_cached,exam_comp_set4,44,true,0,24658,1.712214608,3000
sa_cached,exam_comp_set4,42,true,0,22988,7.906462235,80000
sa_cached,exam_comp_set4,43,true,0,22955,7.024690812,80000
sa_cached,exam_comp_set4,44,true,0,23053,7.444421131,80000
gd_cached,exam_comp_set4,42,true,0,33041,38.480838912,80000
gd_cached,exam_comp_set4,43,true,0,33740,37.803904478,80000
gd_cached,exam_comp_set4,44,true,0,33802,38.570392352,80000
lahc_cached,exam_comp_set4,42,true,0,24077,12.093660583,80000
lahc_cached,exam_comp_set4,43,true,0,35881,11.592180363,80000
lahc_cached,exam_comp_set4,44,true,0,32730,11.769122587,80000
alns_thompson,exam_comp_set4,42,true,0,31047,19.113768050,3000
alns_thompson,exam_comp_set4,43,true,0,27689,18.625962357,3000
alns_thompson,exam_comp_set4,44,true,0,33280,16.353851552,3000
tabu_cached,exam_comp_set5,42,true,0,5114,2.203897952,3000
tabu_cached,exam_comp_set5,43,true,0,4840,2.314001370,3000
tabu_cached,exam_comp_set5,44,true,0,5406,2.208263074,3000
sa_cached,exam_comp_set5,42,true,0,5715,4.557736945,80000
sa_cached,exam_comp_set5,43,true,0,5587,4.530991870,80000
sa_cached,exam_comp_set5,44,true,0,6652,4.471950064,80000
gd_cached,exam_comp_set5,42,true,0,344718,10.005472704,80000
gd_cached,exam_comp_set5,43,true,0,349661,14.234110179,80000
gd_cached,exam_comp_set5,44,true,0,345113,9.966987411,80000
lahc_cached,exam_comp_set5,42,true,0,4781,5.192839808,80000
lahc_cached,exam_comp_set5,43,true,0,4509,5.164502481,80000
lahc_cached,exam_comp_set5,44,true,0,5174,5.302328652,80000
alns_thompson,exam_comp_set5,42,true,0,7904,5.808400624,3000
alns_thompson,exam_comp_set5,43,true,0,10483,8.307245239,3000
alns_thompson,exam_comp_set5,44,true,0,8573,10.661230661,3000
tabu_cached,exam_comp_set6,42,true,0,30500,2.774852762,1602
tabu_cached,exam_comp_set6,43,true,0,30450,3.918964593,3000
tabu_cached,exam_comp_set6,44,true,0,35025,2.448980154,1209
sa_cached,exam_comp_set6,42,true,0,29760,4.700208589,80000
sa_cached,exam_comp_set6,43,true,0,30160,4.651106360,80000
sa_cached,exam_comp_set6,44,true,0,31805,4.750703830,80000
gd_cached,exam_comp_set6,42,true,0,33545,7.546248647,80000
gd_cached,exam_comp_set6,43,true,0,32860,7.694650825,80000
gd_cached,exam_comp_set6,44,true,0,32410,7.631757431,80000
lahc_cached,exam_comp_set6,42,true,0,29730,6.451834970,80000
lahc_cached,exam_comp_set6,43,true,0,29930,6.538361229,80000
lahc_cached,exam_comp_set6,44,true,0,31630,6.581831430,80000
alns_thompson,exam_comp_set6,42,true,0,32885,2.324038937,3000
alns_thompson,exam_comp_set6,43,true,0,39380,2.437864360,3000
alns_thompson,exam_comp_set6,44,true,0,40230,2.702504998,3000
tabu_cached,exam_comp_set7,42,true,0,8019,3.482937543,3000
tabu_cached,exam_comp_set7,43,true,0,8500,3.966025156,3000
tabu_cached,exam_comp_set7,44,true,0,7757,4.163463561,3000
sa_cached,exam_comp_set7,42,true,0,11514,9.070479036,80000
sa_cached,exam_comp_set7,43,true,0,11051,9.248841367,80000
sa_cached,exam_comp_set7,44,true,0,11294,9.052512885,80000
gd_cached,exam_comp_set7,42,true,0,108557,12.555622103,80000
gd_cached,exam_comp_set7,43,true,0,122561,58.403014634,80000
gd_cached,exam_comp_set7,44,true,0,88919,12.659211433,80000
lahc_cached,exam_comp_set7,42,true,0,9271,12.164741314,80000
lahc_cached,exam_comp_set7,43,true,0,8342,12.120762706,80000
lahc_cached,exam_comp_set7,44,true,0,9111,12.396055353,80000
alns_thompson,exam_comp_set7,42,true,0,11704,18.662415159,3000
alns_thompson,exam_comp_set7,43,true,0,30915,13.904730895,3000
alns_thompson,exam_comp_set7,44,true,0,10538,21.992630684,3000
tabu_cached,exam_comp_set8,42,true,0,12554,3.134006170,3000
tabu_cached,exam_comp_set8,43,true,0,12584,2.764324241,3000
tabu_cached,exam_comp_set8,44,true,0,12723,3.359546682,2884
sa_cached,exam_comp_set8,42,true,0,15980,4.974648207,80000
sa_cached,exam_comp_set8,43,true,0,15361,5.232600779,80000
sa_cached,exam_comp_set8,44,true,0,14659,4.893695562,80000
gd_cached,exam_comp_set8,42,true,0,526245,11.768732388,80000
gd_cached,exam_comp_set8,43,true,0,526216,11.476648901,80000
gd_cached,exam_comp_set8,44,true,0,516739,12.152596535,80000
lahc_cached,exam_comp_set8,42,true,0,12841,6.493947292,80000
lahc_cached,exam_comp_set8,43,true,0,13454,6.660591149,80000
lahc_cached,exam_comp_set8,44,true,0,13449,6.589376904,80000
alns_thompson,exam_comp_set8,42,true,0,16364,8.707200720,3000
alns_thompson,exam_comp_set8,43,true,0,16643,12.273851926,3000
alns_thompson,exam_comp_set8,44,true,0,15755,7.084059731,3000
