timestamp,dataset,trial,notes,num_exams,num_periods,num_rooms,num_students,conflict_density,num_period_constraints,num_room_constraints,algorithm,runtime,iterations,memory_peak_mb,solver_status,feasible,hard_violations,soft_penalty,conflicts,room_occupancy,period_utilisation,period_related,room_related,two_in_a_row,two_in_a_day,period_spread,non_mixed_durations,front_load,period_penalty,room_penalty,cfg_tabu_iters,cfg_tabu_tenure,cfg_hho_pop,cfg_hho_iters,cfg_seed
2026-04-02T00:04:56.010184,exam_comp_set4,0,,273,21,1,4421,0.15,40,0,Greedy,0.007744,0,0,,True,0,56115,0,0,0,0,0,36459,7045,8736,0,125,3750,0,1000,20,30,150,42
2026-04-02T00:04:56.017553,exam_comp_set4,0,,273,21,1,4421,0.15,40,0,Tabu Search,2.617529,1000,0,,True,0,44747,0,0,0,0,0,29529,5080,7103,0,135,2900,0,1000,20,30,150,42
2026-04-02T00:04:56.024080,exam_comp_set4,0,,273,21,1,4421,0.15,40,0,HHO,4.427406,150,0,,True,0,46641,0,0,0,0,0,31554,4915,7282,0,140,2750,0,1000,20,30,150,42
2026-04-02T00:05:10.095428,exam_comp_set4,1,,273,21,1,4421,0.15,40,0,Greedy,0.00835,0,0,,True,0,56115,0,0,0,0,0,36459,7045,8736,0,125,3750,0,1000,20,30,150,1042
2026-04-02T00:05:10.100489,exam_comp_set4,1,,273,21,1,4421,0.15,40,0,Tabu Search,2.35812,947,0,,True,0,44858,0,0,0,0,0,29574,5325,7124,0,135,2700,0,1000,20,30,150,1042
2026-04-02T00:05:10.107083,exam_comp_set4,1,,273,21,1,4421,0.15,40,0,HHO,4.437509,150,0,,True,0,46518,0,0,0,0,0,31257,5010,7411,0,140,2700,0,1000,20,30,150,1042
2026-04-02T00:05:24.326635,exam_comp_set4,2,,273,21,1,4421,0.15,40,0,Greedy,0.007808,0,0,,True,0,56115,0,0,0,0,0,36459,7045,8736,0,125,3750,0,1000,20,30,150,2042
2026-04-02T00:05:24.332173,exam_comp_set4,2,,273,21,1,4421,0.15,40,0,Tabu Search,2.499183,1000,0,,True,0,44815,0,0,0,0,0,29439,5170,7171,0,135,2900,0,1000,20,30,150,2042
2026-04-02T00:05:24.337571,exam_comp_set4,2,,273,21,1,4421,0.15,40,0,HHO,4.398761,150,0,,True,0,45792,0,0,0,0,0,30645,5185,7282,0,130,2550,0,1000,20,30,150,2042
2026-04-02T00:05:43.653126,exam_comp_set5,0,,1018,42,3,8719,0.0087,27,0,Greedy,0.053465,0,0,,True,0,417219,0,0,0,0,0,320560,40080,41159,0,420,15000,0,1000,20,30,150,42
2026-04-02T00:05:43.660032,exam_comp_set5,0,,1018,42,3,8719,0.0087,27,0,Tabu Search,3.188295,1000,0,,True,0,5358,0,0,0,0,0,120,0,3348,0,1590,300,0,1000,20,30,150,42
2026-04-02T00:05:43.670001,exam_comp_set5,0,,1018,42,3,8719,0.0087,27,0,HHO,8.325281,150,0,,True,0,7719,0,0,0,0,0,360,390,3959,0,1560,1450,0,1000,20,30,150,42
2026-04-02T00:06:01.727105,exam_comp_set5,1,,1018,42,3,8719,0.0087,27,0,Greedy,0.058366,0,0,,True,0,417219,0,0,0,0,0,320560,40080,41159,0,420,15000,0,1000,20,30,150,1042
2026-04-02T00:06:01.736218,exam_comp_set5,1,,1018,42,3,8719,0.0087,27,0,Tabu Search,1.76777,641,0,,True,0,71015,0,0,0,0,0,33440,8535,14120,0,1270,13650,0,1000,20,30,150,1042
2026-04-02T00:06:01.745159,exam_comp_set5,1,,1018,42,3,8719,0.0087,27,0,HHO,8.439532,150,0,,True,0,7583,0,0,0,0,0,200,420,3803,0,1660,1500,0,1000,20,30,150,1042
2026-04-02T00:06:21.417568,exam_comp_set5,2,,1018,42,3,8719,0.0087,27,0,Greedy,0.053883,0,0,,True,0,417219,0,0,0,0,0,320560,40080,41159,0,420,15000,0,1000,20,30,150,2042
2026-04-02T00:06:21.426651,exam_comp_set5,2,,1018,42,3,8719,0.0087,27,0,Tabu Search,3.321688,1000,0,,True,0,5034,0,0,0,0,0,200,0,2774,0,1560,500,0,1000,20,30,150,2042
2026-04-02T00:06:21.435702,exam_comp_set5,2,,1018,42,3,8719,0.0087,27,0,HHO,8.383994,150,0,,True,0,7205,0,0,0,0,0,280,225,3630,0,1570,1500,0,1000,20,30,150,2042
2026-04-02T00:06:45.673242,exam_comp_set7,0,,1096,80,15,13795,0.0193,28,0,Greedy,0.065097,0,0,,True,0,267057,0,0,0,0,0,184575,0,68757,3255,0,150,10320,1000,20,30,150,42
2026-04-02T00:06:45.682348,exam_comp_set7,0,,1096,80,15,13795,0.0193,28,0,Tabu Search,3.924141,1000,0,,True,0,9677,0,0,0,0,0,0,0,6052,2625,600,200,200,1000,20,30,150,42
2026-04-02T00:06:45.693509,exam_comp_set7,0,,1096,80,15,13795,0.0193,28,0,HHO,13.029719,150,0,,True,0,20507,0,0,0,0,0,175,0,7092,1950,670,300,10320,1000,20,30,150,42
2026-04-02T00:07:08.910459,exam_comp_set7,1,,1096,80,15,13795,0.0193,28,0,Greedy,0.064251,0,0,,True,0,267057,0,0,0,0,0,184575,0,68757,3255,0,150,10320,1000,20,30,150,1042
2026-04-02T00:07:08.919133,exam_comp_set7,1,,1096,80,15,13795,0.0193,28,0,Tabu Search,3.090479,1000,0,,True,0,10007,0,0,0,0,0,75,0,6237,2805,620,0,270,1000,20,30,150,1042
2026-04-02T00:07:08.928979,exam_comp_set7,1,,1096,80,15,13795,0.0193,28,0,HHO,12.922206,150,0,,True,0,20952,0,0,0,0,0,75,0,7767,2160,630,0,10320,1000,20,30,150,1042
2026-04-02T00:07:33.404347,exam_comp_set7,2,,1096,80,15,13795,0.0193,28,0,Greedy,0.068513,0,0,,True,0,267057,0,0,0,0,0,184575,0,68757,3255,0,150,10320,1000,20,30,150,2042
2026-04-02T00:07:33.413706,exam_comp_set7,2,,1096,80,15,13795,0.0193,28,0,Tabu Search,3.909369,1000,0,,True,0,10154,0,0,0,0,0,50,0,6269,2805,640,100,290,1000,20,30,150,2042
2026-04-02T00:07:33.428757,exam_comp_set7,2,,1096,80,15,13795,0.0193,28,0,HHO,13.081547,150,0,,True,0,21214,0,0,0,0,0,175,0,7694,2085,640,300,10320,1000,20,30,150,2042
